compound_id,molecular_weight,logP,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,logS,dose_mg,particle_size_um,ph_stability,formulation_type
NEW-0001,260.58,3.85,48.79,2,2,3,2,-5.32,5,27.59,7.79,tablet
NEW-0002,489.71,2.63,94.87,0,7,2,1,-5.5,10,50.52,8.43,suspension
NEW-0003,411.13,2.02,100.14,1,5,3,1,-3.24,400,85.64,7.78,tablet
NEW-0004,214.31,4.17,40.02,1,3,4,1,-5.99,50,57.66,6.36,capsule
NEW-0005,316.35,4.77,91.62,1,1,4,0,-7.59,50,13.56,5.5,capsule
NEW-0006,561.66,4.91,10.0,1,2,1,1,-4.23,25,30.18,7.97,tablet
NEW-0007,120.0,0.72,67.91,2,7,2,1,-5.33,200,36.98,7.46,solution
NEW-0008,332.82,1.54,35.3,2,4,11,2,-4.05,10,15.77,5.74,solution
NEW-0009,519.25,-0.56,46.73,3,6,1,4,-6.73,25,21.64,6.95,suspension
NEW-0010,284.66,2.07,30.34,0,4,5,1,-3.68,100,16.78,5.84,tablet
NEW-0011,305.32,3.25,94.38,1,1,4,2,-3.48,50,5.05,5.68,tablet
NEW-0012,369.58,2.26,94.39,1,4,4,3,-5.22,10,15.0,5.51,tablet
NEW-0013,544.05,5.98,50.81,0,3,6,4,-6.37,50,20.25,6.98,capsule
NEW-0014,309.72,1.77,88.15,2,3,4,1,-3.62,10,13.39,7.42,solution
NEW-0015,331.16,0.54,84.14,2,4,1,3,-1.78,25,54.03,6.03,capsule
NEW-0016,332.22,3.52,70.5,5,4,7,3,-7.23,25,14.35,6.47,tablet
NEW-0017,622.65,2.77,150.54,3,3,7,1,-3.5,100,25.31,5.97,capsule
NEW-0018,620.55,3.49,45.57,2,6,6,2,-7.42,5,22.93,5.51,tablet
NEW-0019,490.45,3.05,75.5,4,4,4,1,-2.58,100,53.94,5.7,tablet
NEW-0020,422.48,2.94,61.62,1,4,2,2,-4.45,5,19.28,3.91,suspension
NEW-0021,461.11,-1.32,61.99,1,4,9,1,-3.56,100,5.65,5.44,tablet
NEW-0022,543.98,1.19,80.58,4,3,6,2,-5.56,100,30.43,7.96,solution
NEW-0023,277.06,1.44,64.7,0,4,5,0,-1.74,400,23.67,5.96,tablet
NEW-0024,509.34,1.87,44.89,3,5,8,2,-2.23,50,11.29,8.58,solution
NEW-0025,242.07,1.69,79.35,1,4,9,1,-1.23,5,9.17,6.62,capsule
NEW-0026,309.85,3.24,116.38,3,1,8,0,-5.11,25,23.52,6.18,solution
NEW-0027,479.78,3.58,108.0,1,3,5,2,-2.33,5,97.0,6.43,tablet
NEW-0028,222.85,0.46,82.11,1,3,8,1,0.0,25,14.42,5.33,capsule
NEW-0029,364.59,3.74,49.26,1,5,5,1,-5.72,400,34.07,7.02,tablet
NEW-0030,285.21,3.55,81.53,0,8,5,2,-3.69,400,9.91,3.61,capsule
NEW-0031,351.88,3.34,112.96,2,3,8,2,-4.39,5,62.94,8.71,solution
NEW-0032,120.0,-0.05,116.69,4,5,7,1,-5.23,25,38.46,6.43,suspension
NEW-0033,185.13,3.29,87.59,3,3,7,3,-2.57,10,16.3,5.2,tablet
NEW-0034,303.01,2.65,62.25,2,2,3,3,-2.87,400,8.46,6.77,tablet
NEW-0035,482.02,4.23,67.9,3,3,4,2,-6.12,10,41.22,6.46,tablet
NEW-0036,360.9,5.71,102.02,1,8,6,5,-3.97,400,77.36,6.63,tablet
NEW-0037,380.31,5.36,99.02,2,1,9,1,-6.2,400,4.87,6.0,suspension
NEW-0038,455.7,2.7,13.48,1,5,9,4,-7.09,100,44.6,7.0,capsule
NEW-0039,283.25,2.5,98.05,2,6,8,3,-2.59,50,24.17,6.71,tablet
NEW-0040,411.2,3.64,99.9,3,4,5,0,-2.24,5,122.36,6.13,tablet
NEW-0041,291.41,0.49,43.95,1,5,9,2,-4.49,50,67.88,8.15,solution
NEW-0042,189.96,-0.11,48.23,3,4,7,1,-5.0,5,42.08,5.34,capsule
NEW-0043,337.0,1.65,48.5,1,5,5,1,-3.39,100,47.29,5.99,solution
NEW-0044,443.12,4.7,51.19,3,2,5,2,-2.6,10,17.29,9.0,tablet
NEW-0045,417.24,1.9,25.41,0,5,5,3,0.0,200,7.1,8.21,tablet
NEW-0046,378.7,5.2,85.96,0,2,6,2,-2.93,200,26.95,5.86,tablet
NEW-0047,643.16,-2.0,47.5,0,1,5,0,-0.76,200,83.19,5.29,suspension
NEW-0048,425.42,-0.36,72.54,3,3,1,1,-1.37,50,14.59,6.29,tablet
NEW-0049,487.66,2.28,57.59,0,7,6,5,-5.78,5,36.59,6.47,solution
NEW-0050,626.2,4.1,83.93,1,4,2,2,-5.86,10,31.47,7.5,capsule
NEW-0051,237.65,2.37,39.63,3,5,3,1,-3.19,100,67.14,5.62,tablet
NEW-0052,265.73,2.33,83.58,0,4,3,1,-3.0,200,28.1,5.61,tablet
NEW-0053,571.81,2.28,88.64,3,2,3,2,-5.49,25,41.11,5.29,capsule
NEW-0054,292.21,-0.67,103.97,2,3,6,4,-4.58,10,44.84,5.06,capsule
NEW-0055,383.27,4.58,143.87,1,3,7,0,-4.13,200,17.16,6.98,capsule
NEW-0056,497.62,1.27,10.0,3,1,5,2,-4.37,5,3.06,4.74,tablet
NEW-0057,477.98,4.46,86.21,1,6,5,5,-2.2,200,11.59,6.37,tablet
NEW-0058,573.04,2.37,50.18,3,5,11,0,-3.1,5,18.15,4.6,suspension
NEW-0059,544.52,4.42,10.0,3,4,8,3,-1.83,50,44.47,7.77,suspension
NEW-0060,497.63,3.12,104.46,4,1,6,2,-4.01,25,5.63,3.73,solution
NEW-0061,295.0,2.31,121.63,1,3,6,1,-4.84,200,44.65,6.32,capsule
NEW-0062,467.43,2.91,61.29,2,4,3,3,-3.06,200,44.71,6.0,capsule
NEW-0063,414.57,-0.15,82.38,1,3,5,3,-0.6,50,81.92,5.28,tablet
NEW-0064,234.11,2.51,72.76,2,5,7,4,-1.22,200,18.79,8.14,tablet
NEW-0065,535.9,5.59,90.2,3,3,4,2,-2.66,25,13.24,4.95,capsule
NEW-0066,468.8,4.85,105.82,1,5,2,2,-6.09,25,78.36,6.59,tablet
NEW-0067,385.0,0.73,87.07,3,5,4,2,-4.66,100,10.17,5.84,tablet
NEW-0068,354.36,3.41,87.1,3,0,6,3,-4.41,400,29.18,8.38,capsule
NEW-0069,248.19,2.95,119.09,0,4,9,1,-2.02,10,15.9,5.95,tablet
NEW-0070,401.95,3.97,69.24,3,6,6,5,0.0,5,65.14,6.93,tablet
NEW-0071,431.53,2.67,107.31,3,2,7,2,-4.68,200,85.68,7.09,capsule
NEW-0072,288.57,2.08,46.23,3,6,7,4,-4.19,50,47.93,8.04,tablet
NEW-0073,507.84,4.9,131.25,2,6,4,0,-2.42,100,28.26,5.67,tablet
NEW-0074,259.31,2.89,100.82,1,6,7,3,-2.56,10,5.62,6.42,tablet
NEW-0075,146.46,4.76,60.87,2,5,4,4,-4.6,5,29.53,6.85,tablet
NEW-0076,494.37,4.25,10.0,0,6,5,3,-2.8,10,23.29,5.59,capsule
NEW-0077,335.63,1.92,74.99,2,9,2,3,-0.69,25,31.42,8.22,solution
NEW-0078,366.14,2.2,33.64,5,5,2,1,-5.71,200,41.83,6.1,capsule
NEW-0079,287.87,5.97,85.49,3,5,8,2,-3.84,100,18.17,7.46,capsule
NEW-0080,203.34,2.84,125.79,1,4,10,3,-3.62,400,36.45,6.07,capsule
NEW-0081,518.08,1.13,80.6,3,3,7,4,-0.92,50,29.46,4.95,tablet
NEW-0082,304.22,0.34,68.77,3,6,8,3,-2.86,5,37.66,6.38,tablet
NEW-0083,562.7,4.25,86.98,3,4,4,4,-4.14,25,32.05,5.79,suspension
NEW-0084,468.8,2.79,85.0,3,2,6,3,-5.92,200,13.09,6.64,capsule
NEW-0085,345.38,1.07,10.0,2,4,4,1,-4.53,100,34.2,6.36,solution
NEW-0086,260.55,3.71,83.43,0,3,4,3,-4.67,200,16.17,7.39,tablet
NEW-0087,299.43,2.79,96.71,1,3,3,1,-5.29,400,10.37,5.74,tablet
NEW-0088,246.62,-0.49,65.92,2,2,3,3,-4.93,200,32.71,7.52,suspension
NEW-0089,609.58,3.56,109.25,1,6,5,2,-2.85,10,29.94,5.8,tablet
NEW-0090,398.09,4.9,70.53,1,3,5,1,-3.6,100,24.63,6.6,tablet
NEW-0091,506.52,7.11,101.84,3,2,9,3,-4.92,10,17.69,6.38,tablet
NEW-0092,240.59,2.56,154.56,2,2,3,1,-3.83,10,8.64,6.0,solution
NEW-0093,399.91,2.92,71.63,1,5,9,1,-3.11,5,16.66,7.09,capsule
NEW-0094,509.56,5.39,10.0,2,5,2,0,-4.85,25,35.39,7.34,tablet
NEW-0095,343.15,2.8,63.22,1,4,2,5,-4.76,5,84.21,8.18,tablet
NEW-0096,493.42,3.0,14.59,1,2,6,2,-3.0,50,36.03,4.8,solution
NEW-0097,260.7,1.36,96.39,0,3,2,4,-2.86,400,32.75,9.0,capsule
NEW-0098,230.02,-0.01,120.83,2,1,7,4,-4.61,400,58.81,7.45,tablet
NEW-0099,421.73,4.14,99.36,0,5,6,1,-3.6,10,31.88,6.85,solution
NEW-0100,338.29,0.21,86.21,3,5,8,0,-2.45,5,25.08,7.28,tablet
NEW-0101,450.63,4.55,52.43,2,3,8,2,-2.79,400,51.0,7.18,tablet
NEW-0102,162.43,1.08,130.15,2,3,6,3,-5.49,100,18.69,8.27,capsule
