compound_id,molecular_weight,logP,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,logS,dose_mg,particle_size_um,ph_stability,formulation_type,bioavailability_percent
CMPD-0301,288.81,4.39,60.17,2,4,4,2,-5.85,10,14.45,5.65,capsule,34.74
CMPD-0302,318.38,0.7,27.2,3,4,6,2,-3.75,50,47.04,4.99,tablet,38.83
CMPD-0303,462.2,1.81,40.91,4,5,2,1,-4.35,50,17.47,7.03,tablet,49.45
CMPD-0304,447.14,2.95,99.62,0,1,4,4,-5.63,100,5.27,8.25,capsule,41.25
CMPD-0305,377.7,6.09,29.24,1,1,5,2,-2.57,100,13.83,6.03,tablet,28
CMPD-0306,392.91,8,19.07,2,2,7,2,-3.5,10,32.18,5.82,suspension,1
CMPD-0307,520.54,3.59,52.95,2,1,3,2,-6.23,100,28.95,7.54,capsule,40.38
CMPD-0308,314.93,2.17,100.62,3,4,9,4,-1.18,50,5.1,5.22,tablet,55.88
CMPD-0309,440.18,3.46,68.11,1,2,2,3,-4.59,100,40.5,8.44,tablet,48.59
CMPD-0310,357.76,4.1,58.74,1,1,3,2,-4.42,200,21.24,6.41,capsule,45.96
CMPD-0311,356.06,1.92,76.55,2,3,6,2,-2.09,200,36.67,6.95,tablet,65.02
CMPD-0312,500.87,5.73,13.9,0,2,5,1,-2.86,10,35.24,6.55,suspension,18.79
CMPD-0313,470.8,2.91,92.31,3,2,7,4,-1.86,10,30.9,3.49,tablet,47.71
CMPD-0314,469.49,3.4,88.42,3,4,2,3,-6.77,10,10.77,6.42,suspension,31.72
CMPD-0315,523.6,3.7,60.67,3,5,8,0,-3.93,100,30.78,6.04,capsule,43.93
CMPD-0316,382.31,3.26,110.21,3,1,7,2,-3.3,25,34.47,6.97,tablet,50.63
CMPD-0317,455.01,4.01,35.54,2,1,2,0,-1.55,10,14.11,7.87,suspension,64.17
CMPD-0318,345.87,1.39,114.48,5,4,6,3,-4.77,25,37.21,7.09,tablet,40.23
CMPD-0319,415.66,1.5,80.41,3,5,3,4,-4.01,5,31.43,5.7,tablet,48.16
CMPD-0320,365.68,0.52,63.22,1,4,4,4,-3.29,10,20.4,8.48,suspension,42.59
CMPD-0321,390.67,3.29,74.3,4,2,5,1,-2.36,25,36.25,6.55,solution,62.11
CMPD-0322,445.47,3.9,71.25,2,3,4,2,-5.16,400,3.97,8.04,capsule,35.18
CMPD-0323,290,3.32,117.71,2,7,6,4,-2.28,25,8.83,7.56,tablet,57.03
CMPD-0324,610.16,5.51,37.32,0,2,5,5,-4.39,50,62.44,5.3,capsule,15.02
CMPD-0325,269.34,2.49,48.31,1,6,6,1,-2.94,400,23.07,7.77,capsule,53.86
CMPD-0326,246.44,3.7,111.27,2,9,3,1,-3.79,25,15.47,7.54,suspension,49.3
CMPD-0327,507.39,0.53,54.16,1,4,4,1,-3.09,50,6.48,6.59,solution,60.67
CMPD-0328,467.08,1.8,106.52,3,4,3,4,-3.18,200,79.29,5.96,solution,52.03
CMPD-0329,448.65,3.75,134.48,5,2,4,2,-1.58,200,55.06,7.48,suspension,58.7
CMPD-0330,449.12,4.03,60.94,2,3,4,1,-3.85,200,63.42,7.69,capsule,51.08
CMPD-0331,378.65,1.97,98.85,2,4,5,2,-3.95,25,4.24,6.01,capsule,49.61
CMPD-0332,281.3,2.37,34.62,2,3,4,2,-1.9,25,33.61,7.23,capsule,68.11
CMPD-0333,388.34,-0.23,101.42,1,2,6,0,-1.4,5,18.64,6.1,tablet,41.55
CMPD-0334,305.51,1.86,81.98,1,1,5,2,-4.09,25,77.2,5.84,capsule,36.1
CMPD-0335,487.26,4.1,91.56,3,4,7,1,-2.46,100,87.62,7.02,capsule,29.77
CMPD-0336,363.82,3.54,52.4,4,3,5,3,-4.78,100,10.14,7.45,tablet,48.68
CMPD-0337,289.2,3.4,16.86,2,4,5,0,-2.45,200,26.57,7.12,solution,70.62
CMPD-0338,344.65,2.59,92.61,4,4,6,3,-2.12,400,5.78,6.33,tablet,53.43
